Variable,Method,Horizon,Period,NFixed,NRecursive
INDPROD,lagged_error,2,1969Q1--2025Q2*,214,214
INDPROD,lagged_error,2,1969Q1--1999Q4,120,120
INDPROD,lagged_error,2,2000Q1--2025Q2,102,102
INDPROD,lagged_error,2,2000Q1--2025Q2*,94,94
INDPROD,lagged_error,2,2000Q1--2008Q4,36,36
INDPROD,lagged_error,2,2000Q1--2019Q4,80,80
INDPROD,lagged_error,2,2010Q1--2019Q4,40,40
INDPROD,lagged_error,2,2022Q1--2025Q2,14,14
CPI,lagged_error,2,1981Q3--2025Q2,171,171
CPI,lagged_error,2,1981Q3--2025Q2*,163,163
CPI,lagged_error,2,1981Q3--1999Q4,69,69
CPI,lagged_error,2,2000Q1--2025Q2,102,102
CPI,lagged_error,2,2000Q1--2025Q2*,94,94
CPI,lagged_error,2,2000Q1--2008Q4,36,36
CPI,lagged_error,2,2000Q1--2019Q4,80,80
CPI,lagged_error,2,2010Q1--2019Q4,40,40
CPI,lagged_error,2,2022Q1--2025Q2,14,14
UNEMP,lagged_error,3,1969Q1--2025Q2,220,220
UNEMP,lagged_error,3,1969Q1--2025Q2*,212,212
UNEMP,lagged_error,3,1969Q1--1999Q4,118,118
UNEMP,lagged_error,3,2000Q1--2025Q2,102,102
UNEMP,lagged_error,3,2000Q1--2025Q2*,94,94
UNEMP,lagged_error,3,2000Q1--2008Q4,36,36
UNEMP,lagged_error,3,2000Q1--2019Q4,80,80
UNEMP,lagged_error,3,2010Q1--2019Q4,40,40
UNEMP,lagged_error,3,2022Q1--2025Q2,14,14
RGDP,lagged_error,3,1969Q1--2025Q2,221,221
RGDP,lagged_error,3,1969Q1--2025Q2*,213,213
RGDP,lagged_error,3,1969Q1--1999Q4,118,118
RGDP,lagged_error,3,2000Q1--2025Q2,103,103
RGDP,lagged_error,3,2000Q1--2025Q2*,95,95
RGDP,lagged_error,3,2000Q1--2008Q4,36,36
RGDP,lagged_error,3,2000Q1--2019Q4,80,80
RGDP,lagged_error,3,2010Q1--2019Q4,40,40
RGDP,lagged_error,3,2022Q1--2025Q2,15,15
INDPROD,lagged_error,3,1969Q1--2025Q2,220,220
INDPROD,lagged_error,3,1969Q1--2025Q2*,212,212
INDPROD,lagged_error,3,1969Q1--1999Q4,118,118
INDPROD,lagged_error,3,2000Q1--2025Q2,102,102
INDPROD,lagged_error,3,2000Q1--2025Q2*,94,94
INDPROD,lagged_error,3,2000Q1--2008Q4,36,36
INDPROD,lagged_error,3,2000Q1--2019Q4,80,80
INDPROD,lagged_error,3,2010Q1--2019Q4,40,40
INDPROD,lagged_error,3,2022Q1--2025Q2,14,14
CPI,lagged_error,3,1981Q3--2025Q2,169,169
CPI,lagged_error,3,1981Q3--2025Q2*,161,161
CPI,lagged_error,3,1981Q3--1999Q4,67,67
CPI,lagged_error,3,2000Q1--2025Q2,102,102
CPI,lagged_error,3,2000Q1--2025Q2*,94,94
CPI,lagged_error,3,2000Q1--2008Q4,36,36
CPI,lagged_error,3,2000Q1--2019Q4,80,80
